,No.,Ticker,Price,Perf 5Min,Perf Hour,Perf Day,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD
0,1,EURGBP,0.9165,0.01%,-0.12%,0.43%,1.69%,2.93%,-0.99%,2.22%,8.67%,8.22%
1,2,USDCAD,1.2759,0.00%,-0.04%,0.19%,-0.19%,-2.32%,-3.14%,-6.37%,-3.14%,-1.66%
2,3,USDCHF,0.8869,0.00%,-0.01%,0.09%,-0.53%,-3.24%,-2.40%,-6.06%,-9.76%,-8.29%
3,4,AUDUSD,0.7537,0.00%,0.08%,0.06%,1.50%,3.55%,3.50%,9.96%,9.62%,7.43%
4,5,EURUSD,1.2128,0.00%,0.02%,-0.05%,0.06%,2.98%,2.40%,7.34%,8.97%,8.07%
5,6,NZDUSD,0.7089,0.00%,0.09%,-0.09%,0.77%,3.01%,6.37%,10.24%,7.64%,5.28%
6,7,USDJPY,104.09,0.00%,-0.03%,-0.13%,-0.08%,-1.27%,-1.93%,-2.60%,-4.12%,-4.17%
7,8,GBPUSD,1.3233,-0.01%,0.15%,-0.41%,-1.46%,0.11%,3.43%,5.01%,0.28%,-0.13%
8,9,GBPJPY,137.75,0.00%,0.13%,-0.54%,-1.54%,-1.16%,1.45%,2.29%,-3.84%,-4.30%
9,10,BTCUSD,17797.0100,-0.02%,-0.02%,-0.93%,-7.25%,15.62%,74.14%,79.74%,146.65%,147.57%
